Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	CD4 T-cellStep
ENSG00000108798	ABI3	 NESH, SSH3BP3,	"ABI family member 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51225	ABI3	TopGeneInFirstStep
ENSG00000108961	RANGRF	 HSPC165, HSPC236, MOG1, RANGNRF,	"RAN guanine nucleotide release factor"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29098	RANGRF	TopGeneInFirstStep
ENSG00000109062	SLC9A3R1	 EBP50, NHERF, NHERF1,	"SLC9A3 regulator 1"	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	9368	SLC9A3R1	TopGeneInFirstStep
ENSG00000109065	NAT9	 DKFZP564C103,	"N-acetyltransferase 9 (putative)"	"Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	26151	NAT9	TopGeneInFirstStep
ENSG00000109083	IFT20	 ,	"Intraflagellar transport 20"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	90410	IFT20	TopGeneInFirstStep
ENSG00000109107	ALDOC	 ,	"Aldolase, fructose-bisphosphate C"	"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	230	ALDOC	TopGeneInFirstStep
ENSG00000109180	OCIAD1	 Asrij, FLJ20455, OCIA, TPA018,	"OCIA domain containing 1"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	54940	OCIAD1	TopGeneInFirstStep
ENSG00000109320	NFKB1	 KBF1, NF-kappaB, NF-kB1, NFkappaB, NFKB-p50, p105, p50,	"Nuclear factor kappa B subunit 1"	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4790	NFKB1	TF,FunctionGene,TcellActVsNaive
ENSG00000109381	ELF2	 EU32, NERF, NERF-1A, NERF-1B, NERF-2,	"E74 like ETS transcription factor 2"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	1998	ELF2	TF
ENSG00000109736	MFSD10	 IT10C3, TETRAN,	"Major facilitator superfamily domain containing 10"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	10227	MFSD10	TopGeneInFirstStep
ENSG00000109775	UFSP2	 C4orf20, FLJ11200,	"UFM1 specific peptidase 2"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55325	UFSP2	TopGeneInFirstStep
ENSG00000109787	KLF3	 BKLF,	"Kruppel like factor 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	51274	KLF3	TF
ENSG00000109854	HTATIP2	 CC3, FLJ26963, SDR44U1, TIP30,	"HIV-1 Tat interactive protein 2"	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	10553	HTATIP2	TopGeneInFirstStep
ENSG00000109861	CTSC	 DPP1, PALS, PLS,	"Cathepsin C"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	1075	CTSC	TopGeneInFirstStep
ENSG00000110031	LPXN	 LDPL,	Leupaxin	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9404	LPXN	TopGeneInFirstStep
ENSG00000110108	TMEM109	 MGC5508,	"Transmembrane protein 109"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	79073	TMEM109	TopGeneInFirstStep
ENSG00000110200	ANAPC15	 APC15, C11orf51, DKFZP564M082, HSPC020,	"Anaphase promoting complex subunit 15"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	25906	ANAPC15	TopGeneInFirstStep
ENSG00000110274	CEP164	 KIAA1052, NPHP15,	"Centrosomal protein 164"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	22897	CEP164	TopGeneInFirstStep
ENSG00000110324	IL10RA	 CD210, CD210a, CDW210A, HIL-10R, IL10R,	"Interleukin 10 receptor subunit alpha"	"CD markers, Disease related genes, Human disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3587	IL10RA	FunctionGene
ENSG00000110330	BIRC2	 API1, c-IAP1, cIAP1, hiap-2, MIHB, RNF48,	"Baculoviral IAP repeat containing 2"	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	329	BIRC2	TopGeneInFirstStep
ENSG00000110395	CBL	 c-Cbl, CBL2, RNF55,	"Cbl proto-oncogene"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	867	CBL	FunctionGene
ENSG00000110429	FBXO3	 FBA, FBX3,	"F-box protein 3"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	26273	FBXO3	TopGeneInFirstStep
ENSG00000110442	COMMD9	 FLJ31106, HSPC166,	"COMM domain containing 9"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29099	COMMD9	TopGeneInFirstStep
ENSG00000110448	CD5	 LEU1, T1,	"CD5 molecule"	"CD markers, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	921	CD5	TopGeneInFirstStep
ENSG00000110536	PTPMT1	 DUSP23, MOSP, PLIP,	"Protein tyrosine phosphatase mitochondrial 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	114971	PTPMT1	TopGeneInFirstStep
ENSG00000110660	SLC35F2	 FLJ13018,	"Solute carrier family 35 member F2"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	54733	SLC35F2	TcellActVsNaive
ENSG00000110696	C11orf58	 SMAP,	"Chromosome 11 open reading frame 58"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	10944	C11orf58	TopGeneInFirstStep
ENSG00000110801	PSMD9	 p27, Rpn4,	"Proteasome 26S subunit, non-ATPase 9"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5715	PSMD9	TopGeneInFirstStep
ENSG00000110848	CD69	 CLEC2C,	"CD69 molecule"	"CD markers, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	969	CD69	CancerDExpr,TcellActVsNaive
ENSG00000110852	CLEC2B	 AICL, CLECSF2, HP10085,	"C-type lectin domain family 2 member B"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9976	CLEC2B	TopGeneInFirstStep
ENSG00000110876	SELPLG	 CD162, PSGL-1,	"Selectin P ligand"	"Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	6404	SELPLG	TopGeneInFirstStep
ENSG00000110931	CAMKK2	 CAMKK, CAMKKB, KIAA0787, MGC15254,	"Calcium/calmodulin dependent protein kinase kinase 2"	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	10645	CAMKK2	TcellActVsNaive
ENSG00000110934	BIN2	 BRAP-1,	"Bridging integrator 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51411	BIN2	TopGeneInFirstStep
ENSG00000110944	IL23A	 IL-23, IL-23A, IL23P19, P19, SGRF,	"Interleukin 23 subunit alpha"	"FDA approved drug targets, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	51561	IL23A	TopGeneInFirstStep,FunctionGene,TcellActVsNaive
ENSG00000111144	LTA4H	 ,	"Leukotriene A4 hydrolase"	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4048	LTA4H	TopGeneInFirstStep
ENSG00000111145	ELK3	 ERP, NET, SAP2,	"ETS transcription factor ELK3"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2004	ELK3	TF
ENSG00000111269	CREBL2	 ,	"CAMP responsive element binding protein like 2"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	1389	CREBL2	TF
ENSG00000111335	OAS2	 ,	"2'-5'-oligoadenylate synthetase 2"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4939	OAS2	TopGeneInFirstStep
ENSG00000111348	ARHGDIB	 GDIA2, GDID4, Ly-GDI, RAP1GN1, RhoGDI2,	"Rho GDP dissociation inhibitor beta"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	397	ARHGDIB	TopGeneInFirstStep
ENSG00000111371	SLC38A1	 ATA1, NAT2, SAT1,	"Solute carrier family 38 member 1"	"FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	81539	SLC38A1	TopGeneInFirstStep
ENSG00000111596	CNOT2	 CDC36, NOT2, NOT2H,	"CCR4-NOT transcription complex subunit 2"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	4848	CNOT2	TopGeneInFirstStep
ENSG00000111652	COPS7A	 CSN7A,	"COP9 signalosome subunit 7A"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	50813	COPS7A	TopGeneInFirstStep
ENSG00000111653	ING4	 my036, p29ING4,	"Inhibitor of growth family member 4"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51147	ING4	TopGeneInFirstStep
ENSG00000111679	PTPN6	 HCP, HCPH, PTP-1C, SHP-1, SHP1,	"Protein tyrosine phosphatase non-receptor type 6"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5777	PTPN6	TopGeneInFirstStep,FunctionGene
ENSG00000111716	LDHB	 ,	"Lactate dehydrogenase B"	"Disease related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3945	LDHB	TopGeneInFirstStep,CancerDExpr
ENSG00000111725	PRKAB1	 ,	"Protein kinase AMP-activated non-catalytic subunit beta 1"	"FDA approved drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5564	PRKAB1	TopGeneInFirstStep
ENSG00000111790	FGFR1OP2	 DKFZp564O1863,	"FGFR1 oncogene partner 2"	"Disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26127	FGFR1OP2	TopGeneInFirstStep
ENSG00000111796	KLRB1	 CD161, CLEC5B, hNKR-P1A, NKR, NKR-P1, NKR-P1A,	"Killer cell lectin like receptor B1"	"CD markers, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3820	KLRB1	CancerDExpr
ENSG00000111802	TDP2	 TTRAP,	"Tyrosyl-DNA phosphodiesterase 2"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51567	TDP2	TopGeneInFirstStep
ENSG00000111832	RWDD1	 PTD013,	"RWD domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	51389	RWDD1	TopGeneInFirstStep
ENSG00000111913	RIPOR2	 C6orf32, DIFF48, FAM65B, KIAA0386, MYONAP,	"RHO family interacting cell polarization regulator 2"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9750	RIPOR2	TopGeneInFirstStep,CancerDExpr
ENSG00000112033	PPARD	 FAAR, NR1C2, NUC1, NUCII,	"Peroxisome proliferator activated receptor delta"	"FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	5467	PPARD	TF,FunctionGene
ENSG00000112096	SOD2	 GClnc1,	"Superoxide dismutase 2"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6648	SOD2	TopGeneInFirstStep,TcellActVsNaive
ENSG00000112149	CD83	 BL11, HB15,	"CD83 molecule"	"CD markers, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	9308	CD83	TcellActVsNaive
ENSG00000112182	BACH2	 BTBD25,	"BTB domain and CNC homolog 2"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	60468	BACH2	TF,FunctionGene
ENSG00000112303	VNN2	 FOAP-4, GPI-80,	"Vanin 2"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	8875	VNN2	TopGeneInFirstStep
ENSG00000112365	ZBTB24	 BIF1, KIAA0441, PATZ2, ZNF450,	"Zinc finger and BTB domain containing 24"	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	9841	ZBTB24	TF
ENSG00000112695	COX7A2	 COX7AL, COXVIIa-L,	"Cytochrome c oxidase subunit 7A2"	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at transcript level"	"Evidence at transcript level"	1347	COX7A2	TopGeneInFirstStep
ENSG00000112759	SLC29A1	 ENT1,	"Solute carrier family 29 member 1 (Augustine blood group)"	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	2030	SLC29A1	TcellActVsNaive
ENSG00000113263	ITK	 EMT, LYK, PSCTK2,	"IL2 inducible T cell kinase"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	3702	ITK	TopGeneInFirstStep
ENSG00000113282	CLINT1	 CLINT, ENTH, EPNR, KIAA0171,	"Clathrin interactor 1"	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	9685	CLINT1	TopGeneInFirstStep
ENSG00000113328	CCNG1	 CCNG,	"Cyclin G1"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	900	CCNG1	TopGeneInFirstStep
ENSG00000113369	ARRDC3	 KIAA1376, TLIMP,	"Arrestin domain containing 3"	"Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	57561	ARRDC3	TopGeneInFirstStep
ENSG00000113580	NR3C1	 GR, GRL,	"Nuclear receptor subfamily 3 group C member 1"	"Disease related genes, FDA approved drug targets, Human disease related genes, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2908	NR3C1	TF,FunctionGene
ENSG00000113658	SMAD5	 Dwfc, JV5-1, MADH5,	"SMAD family member 5"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4090	SMAD5	TF
ENSG00000113761	ZNF346	 JAZ, Zfp346,	"Zinc finger protein 346"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23567	ZNF346	TF
ENSG00000113851	CRBN	 MRT2, MRT2A,	Cereblon	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	51185	CRBN	TopGeneInFirstStep
ENSG00000113916	BCL6	 BCL5, BCL6A, LAZ3, ZBTB27, ZNF51,	"BCL6 transcription repressor"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	604	BCL6	TF
ENSG00000114098	ARMC8	 DKFZP434A043, GID5, HSPC056, VID28,	"Armadillo repeat containing 8"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	25852	ARMC8	TopGeneInFirstStep
ENSG00000114126	TFDP2	 Dp-2,	"Transcription factor Dp-2"	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7029	TFDP2	TF
ENSG00000114209	PDCD10	 CCM3, TFAR15,	"Programmed cell death 10"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	11235	PDCD10	TopGeneInFirstStep
ENSG00000114331	ACAP2	 CENTB2, CNT-B2, KIAA0041,	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23527	ACAP2	TopGeneInFirstStep
ENSG00000114388	NPRL2	 NPR2, NPR2L, TUSC4,	"NPR2 like, GATOR1 complex subunit"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	10641	NPRL2	TopGeneInFirstStep
ENSG00000114395	CYB561D2	 101F6, TSP10,	"Cytochrome b561 family member D2"	"Enzymes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	11068	CYB561D2	TopGeneInFirstStep
